Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,3/10/23 21:23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,18E100729,21D220270,17H105121,21D220270,17J102624,17J102624,17K102345,17H105121,21D220270,21D220270,18E100729,21D220270,17K102345,17K102345,21D220270,17H105121,17K101748,17K101748,17K101748,17K101748
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond S/cm,Depth m,nLF Cond S/cm,ODO % sat,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond S/cm,TAL PC RFU,TDS mg/L,pH,pH mV,Temp C,Vertical Position m,GPS Latitude ,GPS Longitude ,Altitude m,Barometer mmHg
3/6/23,13:27:33,0,deming20230306,1,83,0.524,157.4,37.8,5.46,172.2,0.358,0.07,156.7,2.16,102,6.61,-10.7,0.366,0.524,47.17028,-95.16805,467.6,730
3/6/23,13:29:47,0,deming20230306,0.76,85.3,0.992,154.7,28.5,3.97,169.1,1.024,0.07,153.4,3.39,100,6.72,-16.3,1.759,0.993,47.17027,-95.16806,464.4,730
3/6/23,13:32:57,0,deming20230306,0.72,87.8,1.483,154.2,12.4,1.68,148.9,1.722,0.07,152.5,3.26,99,6.73,-16.8,2.793,1.483,47.17027,-95.16807,463.6,729.9
3/6/23,13:34:39,0,deming20230306,0.56,89.1,1.955,153.6,6,0.8,144.5,2.393,0.07,151.7,2.48,99,6.73,-16.3,3.394,1.954,47.17028,-95.16807,465.4,729.9
3/6/23,13:38:53,0,deming20230306,0.97,90.7,2.437,154.2,-0.2,-0.03,69.2,3.08,0.07,152.2,2.51,99,6.76,-18.1,3.842,2.437,47.1703,-95.16806,468.9,730
3/6/23,13:39:58,0,deming20230306,0.71,91.7,2.935,155.2,-1.1,-0.15,47.3,3.788,0.07,153.2,2.09,100,6.76,-17.9,3.971,2.935,47.1703,-95.16806,468.5,730
3/6/23,13:41:14,0,deming20230306,0.51,93.1,3.463,156.9,-1.5,-0.2,17.1,4.539,0.07,154.9,1.48,101,6.78,-19.2,4.109,3.462,47.1703,-95.16807,469.5,729.9
3/6/23,13:42:32,0,deming20230306,0.38,94.2,3.93,158.4,-1.8,-0.24,-0.1,5.203,0.07,156.3,1.18,102,6.81,-20.4,4.184,3.929,47.17028,-95.16807,465.7,730
3/6/23,13:43:26,0,deming20230306,0.37,94.6,4.424,159.1,-1.9,-0.25,-8.7,5.905,0.07,156.9,1.16,102,6.82,-21,4.216,4.434,47.17029,-95.16806,468,729.8
3/6/23,13:44:20,0,deming20230306,0.35,95,4.95,159.5,-2,-0.26,-15.9,6.653,0.07,157.4,1,102,6.82,-21.1,4.238,4.949,47.17028,-95.16806,468.8,729.8
3/6/23,13:45:35,0,deming20230306,0.34,95.5,5.444,160.2,-2.1,-0.28,-24.7,7.356,0.07,158.1,1.01,103,6.83,-21.8,4.264,5.445,47.17029,-95.16806,468.4,729.9
3/6/23,13:46:52,0,deming20230306,0.33,95.9,5.929,160.8,-2.2,-0.29,-31,8.046,0.07,158.7,1.03,103,6.85,-22.6,4.281,5.93,47.17028,-95.16807,466,729.9
3/6/23,13:47:45,0,deming20230306,0.33,96.7,6.509,162.1,-2.3,-0.3,-34.4,8.871,0.08,159.9,1.02,104,6.86,-23,4.295,6.494,47.17028,-95.16807,466.4,729.8
3/6/23,13:48:59,0,deming20230306,0.34,97.7,6.938,163.8,-2.4,-0.31,-38.6,9.482,0.08,161.6,1,105,6.87,-23.9,4.301,6.938,47.17028,-95.16807,467.2,729.9
3/6/23,13:50:41,0,deming20230306,0.32,99.4,7.446,166.6,-2.5,-0.32,-43,10.204,0.08,164.3,0.93,107,6.89,-24.8,4.317,7.447,47.1703,-95.16807,469.3,729.9
3/6/23,13:52:11,0,deming20230306,0.29,99.9,7.937,167.4,-2.5,-0.33,-45.2,10.903,0.08,165.1,1.01,107,6.9,-25.2,4.329,7.938,47.17029,-95.16807,468.5,729.9
3/6/23,13:54:20,0,deming20230306,0.3,102.3,8.438,171.3,-2.6,-0.34,-49,11.615,0.08,169,0.97,110,6.89,-24.9,4.351,8.44,47.1703,-95.16807,469.8,729.9
3/6/23,13:55:16,0,deming20230306,0.31,104.9,8.944,175.5,-2.7,-0.35,-50.3,12.335,0.08,173.2,0.87,113,6.88,-24,4.367,8.943,47.17028,-95.16807,466.3,730
3/6/23,13:56:28,0,deming20230306,0.32,108.1,9.392,180.6,-2.7,-0.35,-53.4,12.971,0.08,178.2,0.91,116,6.85,-22.5,4.399,9.4,47.1703,-95.16807,468,730
3/6/23,13:59:27,0,deming20230306,0.32,125.1,9.966,208.7,-2.8,-0.36,-69.3,13.789,0.1,205.8,0.82,134,6.74,-16.9,4.477,9.963,47.17029,-95.16804,470.3,730
3/6/23,14:01:21,0,deming20230306,0.44,164,10.51,272.8,-2.7,-0.35,-81.2,14.563,0.13,269.1,0.71,175,6.61,-10.4,4.557,10.511,47.17028,-95.16805,471.7,730
3/6/23,14:02:54,0,deming20230306,0.47,194,11.012,322.1,-2.8,-0.36,-91.2,15.276,0.15,317.6,0.62,206,6.55,-7.1,4.62,11.01,47.17028,-95.16807,468.9,729.9
3/6/23,14:04:13,0,deming20230306,0.54,232.9,11.452,385.8,-2.9,-0.37,-99.6,15.903,0.18,380.4,0.44,247,6.47,-3.3,4.691,11.451,47.17028,-95.16805,466.9,730
3/6/23,14:05:53,0,deming20230306,0.64,281.2,11.979,465.1,-2.9,-0.37,-109.6,16.653,0.22,458.6,0.39,298,6.43,-1.1,4.754,11.978,47.17027,-95.16805,468.1,729.9
3/6/23,14:07:10,0,deming20230306,0.7,325.3,12.452,537.3,-2.9,-0.37,-116.9,17.327,0.26,529.6,0.27,344,6.4,0.4,4.804,12.451,47.17028,-95.16806,467.7,729.8
3/6/23,14:08:09,0,deming20230306,0.74,353.4,12.895,582.9,-2.9,-0.38,-122.2,17.957,0.28,574.6,0.28,373,6.39,1,4.846,12.895,47.17027,-95.16806,467.9,729.9
3/6/23,14:08:56,0,deming20230306,0.73,368.7,13.453,607.5,-3,-0.38,-126.2,18.752,0.29,598.9,0.29,389,6.39,1.2,4.876,13.452,47.17027,-95.16806,468.2,729.9
3/6/23,14:10:02,0,deming20230306,0.79,379.3,13.935,624.4,-3,-0.38,-131,19.438,0.3,615.5,0.24,400,6.38,1.3,4.91,13.937,47.17028,-95.16808,471.4,729.8
3/6/23,14:10:54,0,deming20230306,0.78,389.8,14.387,640.9,-3,-0.38,-134.9,20.08,0.31,631.7,0.26,411,6.38,1.4,4.946,14.388,47.17028,-95.16805,469.3,729.7
3/6/23,14:11:53,0,deming20230306,0.79,394.5,14.951,648.3,-3,-0.38,-138.7,20.882,0.31,639,0.23,415,6.39,1.1,4.968,14.952,47.17031,-95.16806,467.9,729.9
3/6/23,14:12:46,0,deming20230306,0.81,399.4,15.439,656,-3,-0.38,-141.8,21.577,0.31,646.5,0.25,420,6.39,1,4.989,15.439,47.17028,-95.16808,471.6,729.8
3/6/23,14:13:39,0,deming20230306,0.87,408,16.006,669.6,-3,-0.39,-145.5,22.383,0.32,659.9,0.3,429,6.4,0.5,5.015,16.005,47.17028,-95.16806,469,730
3/6/23,14:14:39,0,deming20230306,0.95,425,16.428,696.9,-3,-0.39,-150.5,22.984,0.33,686.8,0.4,446,6.42,-0.5,5.044,16.43,47.17027,-95.16805,468,729.8
3/6/23,14:15:44,0,deming20230306,3,524.9,16.811,859.8,-3.1,-0.39,-159.4,23.53,0.42,847.3,4.2,551,6.41,-0.2,5.078,16.81,47.17027,-95.16807,469.4,729.9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,