KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/8/21 0:49,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidity (FNU),TSS (mg/L),Chlorophyll (RFU),Chlorophyll (g/L),PC (RFU),PC (ug/L),Pressure (psi a),Depth (m),Vertical Position (m)
10/5/21,9:44:02 AM,Josephine,,47.16294,-95.16585,727.7,56.5,65.8,0.03,66.6,43,63.7,-1.3,-1.3,92.6,8.83,96.7,0.42,0,0.76,0.03,0.13,-0.8,0.176,0.396,0.356
10/5/21,9:47:32 AM,Josephine,,47.16295,-95.16586,727.6,56.8,66.2,0.03,67,43,63.7,-1.3,-1.3,92.5,8.83,96.7,0.43,0,1.1,0.27,0.2,-0.75,0.159,0.384,0.473
10/5/21,9:51:58 AM,Josephine,,47.16295,-95.16583,727.7,56.8,66.2,0.03,67,43,63.7,-1.3,-1.3,92.6,8.84,96.7,0.47,0,1.25,0.38,0.14,-0.8,0.338,0.51,0.474
10/5/21,9:54:23 AM,Josephine,,47.16294,-95.16582,727.7,56.9,66.2,0.03,67,43,63.7,-1.3,-1.3,92.6,8.84,96.7,0.46,0,1.14,0.3,0.16,-0.79,1.057,1.016,0.975
10/5/21,9:55:29 AM,Josephine,,47.16295,-95.16579,727.7,56.9,66.2,0.03,67.1,43,63.7,-1.3,-1.3,92.6,8.84,96.7,0.43,0,1.3,0.42,0.15,-0.79,1.731,1.491,1.454
10/5/21,9:56:53 AM,Josephine,,47.16295,-95.16583,727.7,56.9,66.2,0.03,67.1,43,63.7,-1.3,-1.3,92.6,8.84,96.7,0.41,0,1.06,0.24,0.13,-0.8,2.409,1.968,1.927
10/5/21,9:58:14 AM,Josephine,,47.16295,-95.16582,727.7,56.9,66.3,0.03,67.1,43,63.6,-1.3,-1.3,92.1,8.8,96.2,0.46,0,1.37,0.46,0.19,-0.76,3.162,2.498,2.457
10/5/21,9:59:23 AM,Josephine,,47.16295,-95.16583,727.5,56.9,66.3,0.03,67.1,43,63.6,-1.3,-1.3,91.4,8.73,95.4,0.47,0,1.41,0.49,0.19,-0.76,3.928,3.038,2.996
10/5/21,10:00:37 AM,Josephine,,47.16295,-95.16582,727.6,56.9,66.3,0.03,67.1,43,63.6,-1.3,-1.3,91,8.69,95,0.48,0,1.44,0.51,0.21,-0.74,4.584,3.499,3.464
10/5/21,10:00:43 AM,Josephine,,47.16295,-95.16582,727.7,56.9,66.3,0.03,67.1,43,63.6,-1.3,-1.3,91,8.69,95,0.47,0,1.33,0.44,0.19,-0.76,4.589,3.503,3.461
10/5/21,10:01:48 AM,Josephine,,47.16296,-95.16581,727.6,56.9,66.3,0.03,67.2,43,63.6,-1.3,-1.3,91.7,8.76,95.8,0.47,0,1.35,0.45,0.18,-0.77,5.306,4.007,3.966
10/5/21,10:02:56 AM,Josephine,,47.16294,-95.16584,727.6,56.9,66.4,0.03,67.2,43,63.6,-1.3,-1.3,91.8,8.77,95.9,0.46,0,1.52,0.57,0.18,-0.76,6.016,4.507,4.47
10/5/21,10:04:13 AM,Josephine,,47.16292,-95.16582,727.7,56.9,66.4,0.03,67.3,43,63.5,-1.3,-1.3,91.1,8.72,95.2,0.47,0,1.52,0.57,0.17,-0.78,6.768,5.037,4.996
10/5/21,10:04:40 AM,Josephine,,47.16293,-95.16584,727.6,56.9,66.4,0.03,67.3,43,63.5,-1.3,-1.3,91,8.7,95,0.52,0,1.37,0.46,0.15,-0.79,6.77,5.038,4.997
10/5/21,10:05:07 AM,Josephine,,47.16294,-95.16583,727.6,56.8,66.4,0.03,67.3,43,63.4,-1.3,-1.2,90,8.62,94,0.66,0,1.42,0.5,0.22,-0.73,7.407,5.487,5.45
10/5/21,10:05:29 AM,Josephine,,47.16295,-95.16582,727.7,56.8,66.4,0.03,67.3,43,63.4,-1.3,-1.2,89.7,8.59,93.7,0.61,0,1.5,0.55,0.22,-0.73,7.431,5.503,5.461
10/5/21,10:05:51 AM,Josephine,,47.16295,-95.16582,727.6,56.7,66.4,0.03,67.2,43,63.2,-1.3,-1.2,87.5,8.39,91.4,0.53,0,1.64,0.65,0.25,-0.7,8.161,6.017,5.97
10/5/21,10:06:10 AM,Josephine,,47.16296,-95.16582,727.7,56.8,66.5,0.03,67.3,43,63.2,-1.3,-1.2,85.7,8.23,89.6,0.63,0,1.51,0.56,0.2,-0.75,8.156,6.014,5.972
10/5/21,10:06:54 AM,Josephine,,47.16296,-95.1658,727.7,56.4,66.4,0.03,67.3,43,62.8,-1.2,-1.2,72.4,6.98,75.6,0.72,0,2.19,1.04,0.37,-0.6,8.855,6.506,6.447
10/5/21,10:07:46 AM,Josephine,,47.16295,-95.1658,727.6,55.3,65.7,0.03,66.6,43,62,-1.1,-1.1,63,6.13,65.8,0.9,0,2.2,1.05,0.49,-0.5,9.556,6.998,6.957
10/5/21,10:08:17 AM,Josephine,,47.16296,-95.16582,727.5,55.1,65.6,0.03,66.5,43,62,-1.1,-1.1,54.1,5.27,56.5,0.89,0,2.44,1.22,0.55,-0.46,9.562,7.003,6.961
10/5/21,10:08:40 AM,Josephine,,47.16296,-95.16582,727.7,53.1,64.4,0.03,65.3,42,60.5,-1,-1,37,3.66,38.6,1.25,0,3.53,1.99,0.69,-0.34,10.27,7.5,7.46
10/5/21,10:09:18 AM,Josephine,,47.16296,-95.16582,727.6,51.1,62.2,0.03,63.2,40,60.2,-1,-0.9,22.1,2.2,23.1,1.37,0,3.42,1.91,0.69,-0.33,10.272,7.501,7.452
10/5/21,10:09:57 AM,Josephine,,47.16296,-95.16578,727.5,36.5,46.3,0.02,47,30,57,-0.7,-0.7,4.8,0.5,5.1,3.53,0,24.27,16.64,2.22,0.96,10.964,7.987,7.946
10/5/21,10:12:39 AM,Josephine,,47.16294,-95.16582,727.5,25.4,34.1,0.01,34.7,22,53,-0.5,-0.4,-0.6,-0.06,-0.6,6.05,0,15.92,10.74,2.14,0.89,11.721,8.517,8.463
10/5/21,10:13:05 AM,Josephine,,47.16296,-95.16582,727.5,25,33.4,0.01,34,22,53.2,-0.5,-0.4,-0.6,-0.07,-0.6,6,0,19.76,13.46,2.37,1.08,11.706,8.506,8.464
10/5/21,10:13:56 AM,Josephine,,47.16294,-95.16583,727.6,37.1,51.3,0.02,52.2,33,50.8,-0.3,-0.3,-1.2,-0.13,-1.3,4.42,0,16.46,11.12,2,0.77,12.43,9.014,8.976
10/5/21,10:14:37 AM,Josephine,,47.16294,-95.16583,727.5,70,99.7,0.05,101.5,65,49,-0.2,-0.1,-1.5,-0.17,-1.6,5.95,0,8.56,5.55,1.88,0.67,13.139,9.512,9.476
10/5/21,10:15:25 AM,Josephine,,47.16293,-95.16583,727.6,83.3,119.2,0.06,121.3,77,48.6,-0.2,-0.1,-1.6,-0.19,-1.7,5.94,0,8.26,5.33,1.86,0.65,13.14,9.512,9.471
10/5/21,10:16:35 AM,Josephine,,47.16294,-95.16584,727.6,117.3,170.7,0.08,173.7,111,47.5,-0.1,-0.1,-1.9,-0.23,-2,11.42,0,7.35,4.69,1.83,0.63,13.804,9.979,9.927
10/5/21,10:16:59 AM,Josephine,,47.16293,-95.16584,727.5,120.3,175.1,0.08,178.2,114,47.5,-0.1,-0.1,-2,-0.24,-2.1,11.93,0,7.56,4.84,1.82,0.62,13.823,9.992,9.943
10/5/21,10:18:35 AM,Josephine,,47.16295,-95.16584,727.5,142.1,210.2,0.1,213.8,137,46.5,-0.1,0,-2.3,-0.28,-2.4,8.4,0,6.13,3.82,1.67,0.49,14.57,10.516,10.471
10/5/21,10:18:57 AM,Josephine,,47.16296,-95.16582,727.5,141.8,209.9,0.1,213.5,136,46.4,-0.1,0,-2.4,-0.28,-2.5,8.3,0,6.17,3.86,1.67,0.49,14.559,10.509,10.46
10/5/21,10:19:24 AM,Josephine,,47.16295,-95.16585,727.6,152.1,227,0.11,230.8,148,45.9,0,0,-2.5,-0.29,-2.6,7.72,0,7.57,4.84,1.94,0.72,15.286,11.02,10.978
10/5/21,10:19:46 AM,Josephine,,47.16295,-95.16583,727.5,153.6,229.3,0.11,233.3,149,45.9,0,0,-2.5,-0.29,-2.6,7.8,0,8.83,5.73,2,0.77,15.318,11.042,10.999